,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Security Rules,Size Metric Rules,isDefective
32,L2925,DefaultConfigurationFactory$DefaultThreadFactory,com.nostra13.universalimageloader.core.DefaultConfigurationFactory$DefaultThreadFactory,L2823,L103,C:\Users\domco\Desktop\DP\repos\Android-Universal-Image-Loader\library\src\com\nostra13\universalimageloader\core\DefaultConfigurationFactory.java,137,2,159,3,0.0,0,0,0,0.0,0.0,0,0,1,1,1,3,0,1,1,0,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,19,23,5,0,5,0,2,0,1,0,2,8,0,1,0,19,23,5,0,5,0,2,0,1,0,2,8,0,1,0,0,1,7,0,1,0,0,1,0,0,0,0,7,0,0,0,1,0,0,0,0
33,L2977,FadeInBitmapDisplayer,com.nostra13.universalimageloader.core.display.FadeInBitmapDisplayer,L2964,L103,C:\Users\domco\Desktop\DP\repos\Android-Universal-Image-Loader\library\src\com\nostra13\universalimageloader\core\display\FadeInBitmapDisplayer.java,32,1,86,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,11,3,2,2,2,6,0.8,0.388889,21,21,4,1,0.388889,21,1,1,0,0,1,33,55,4,0,4,0,4,0,4,0,4,13,0,4,0,33,55,4,0,4,0,4,0,4,0,4,13,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
34,L3032,RoundedBitmapDisplayer,com.nostra13.universalimageloader.core.display.RoundedBitmapDisplayer,L2964,L103,C:\Users\domco\Desktop\DP\repos\Android-Universal-Image-Loader\library\src\com\nostra13\universalimageloader\core\display\RoundedBitmapDisplayer.java,41,1,118,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,4,5,2,2,2,5,0.25,0.470588,16,16,1,3,0.223684,17,1,1,1,1,1,18,24,2,0,2,0,3,0,3,0,3,6,0,3,0,59,78,8,1,8,1,9,0,8,2,9,22,0,8,2,0,0,24,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,1,0
35,L3136,RoundedVignetteBitmapDisplayer,com.nostra13.universalimageloader.core.display.RoundedVignetteBitmapDisplayer,L2964,L103,C:\Users\domco\Desktop\DP\repos\Android-Universal-Image-Loader\library\src\com\nostra13\universalimageloader\core\display\RoundedVignetteBitmapDisplayer.java,38,1,74,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,3,5,0,0,3,5,0.333333,0.555556,15,15,1,2,0.340909,15,2,2,0,0,1,12,16,2,0,0,0,2,0,2,0,5,4,0,5,0,29,37,8,1,0,0,4,0,2,0,13,11,0,10,2,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
36,L2914,SimpleBitmapDisplayer,com.nostra13.universalimageloader.core.display.SimpleBitmapDisplayer,L2964,L103,C:\Users\domco\Desktop\DP\repos\Android-Universal-Image-Loader\library\src\com\nostra13\universalimageloader\core\display\SimpleBitmapDisplayer.java,28,1,33,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,3,1,0,1,2,0.5,0.5,6,6,1,1,0.5,6,1,1,0,0,1,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
37,L3272,DisplayImageOptions$Builder,com.nostra13.universalimageloader.core.DisplayImageOptions$Builder,L2750,L103,C:\Users\domco\Desktop\DP\repos\Android-Universal-Image-Loader\library\src\com\nostra13\universalimageloader\core\DisplayImageOptions.java,202,2,491,3,0.0,0,0,0,0.0,0.0,0,0,2,1,1,31,5,7,7,2,30,0.964286,0.419476,112,112,27,1,0.419476,112,0,0,0,0,0,155,290,19,0,19,0,28,0,27,0,28,77,0,27,0,155,290,19,0,19,0,28,0,27,0,28,77,0,27,0,0,0,26,0,32,0,0,4,1,0,0,0,19,0,12,0,0,16,0,6,0
38,L2898,BaseImageDownloader,com.nostra13.universalimageloader.core.download.BaseImageDownloader,L3445,L103,C:\Users\domco\Desktop\DP\repos\Android-Universal-Image-Loader\library\src\com\nostra13\universalimageloader\core\download\BaseImageDownloader.java,48,1,247,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,25,4,1,1,4,15,0.25,0.447368,85,79,1,3,0.447368,85,1,1,0,0,1,105,200,10,7,10,7,11,2,3,0,11,53,2,3,0,105,200,10,7,10,7,11,2,3,0,11,53,2,3,0,0,1,16,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,7,0
39,L3658,BaseImageDownloaderTest,com.nostra13.universalimageloader.core.download.BaseImageDownloaderTest,L3445,L103,C:\Users\domco\Desktop\DP\repos\Android-Universal-Image-Loader\library\test\com\nostra13\universalimageloader\core\download\BaseImageDownloaderTest.java,10,1,68,2,0.0,0,0,0,0.0,0.0,0,0,7,0,0,7,1,0,0,1,8,0.0,0.0,0,0,0,8,0.0,0,0,0,0,0,0,52,59,0,0,0,0,7,0,7,0,7,28,0,7,0,52,59,0,0,0,0,7,0,7,0,7,28,0,7,0,0,0,18,7,0,7,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0
40,L2500,ImageViewAware,com.nostra13.universalimageloader.core.imageaware.ImageViewAware,L3667,L103,C:\Users\domco\Desktop\DP\repos\Android-Universal-Image-Loader\library\src\com\nostra13\universalimageloader\core\imageaware\ImageViewAware.java,35,1,143,2,0.336134,1,6,2,0.201835,0.328358,22,22,0,2,2,18,3,4,7,8,17,0.714286,0.385321,42,40,5,2,0.385321,42,2,2,0,0,1,67,109,4,10,0,5,9,0,6,2,19,32,2,16,4,67,109,4,10,0,5,9,0,6,2,19,32,2,16,4,0,0,30,1,0,0,17,0,0,0,0,1,11,0,0,0,0,0,0,2,0
41,L3747,NonViewAware,com.nostra13.universalimageloader.core.imageaware.NonViewAware,L3667,L103,C:\Users\domco\Desktop\DP\repos\Android-Universal-Image-Loader\library\src\com\nostra13\universalimageloader\core\imageaware\NonViewAware.java,34,1,92,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,13,3,1,1,2,12,0.0909091,0.189655,11,9,1,10,0.189655,11,1,1,0,0,1,47,59,3,5,3,5,10,0,10,2,10,16,0,10,2,47,59,3,5,3,5,10,0,10,2,10,16,0,10,2,0,0,23,0,2,0,0,2,0,0,0,0,23,0,0,0,0,0,0,0,0
42,L3689,ViewAware,com.nostra13.universalimageloader.core.imageaware.ViewAware,L3667,L103,C:\Users\domco\Desktop\DP\repos\Android-Universal-Image-Loader\library\src\com\nostra13\universalimageloader\core\imageaware\ViewAware.java,35,1,184,2,0.686217,2,14,4,0.36,0.62069,54,54,1,2,2,30,3,1,6,1,13,0.454545,0.4,58,54,5,6,0.4,58,1,1,1,1,1,87,150,4,5,4,5,12,2,10,4,12,44,2,10,4,87,150,4,5,4,5,12,2,10,4,12,44,2,10,4,0,0,46,0,4,0,29,4,0,0,0,0,13,0,0,0,0,0,0,4,0
43,L4034,ImageLoader$SyncImageLoadingListener,com.nostra13.universalimageloader.core.ImageLoader$SyncImageLoadingListener,L3833,L103,C:\Users\domco\Desktop\DP\repos\Android-Universal-Image-Loader\library\src\com\nostra13\universalimageloader\core\ImageLoader.java,750,2,762,3,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,1,1,1,0,2,0.333333,0.375,6,6,1,2,0.375,6,2,2,0,0,1,10,13,1,1,1,1,2,0,2,0,6,2,0,6,0,10,13,1,1,1,1,2,0,2,0,6,2,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
44,L4132,ImageLoaderConfiguration$Builder,com.nostra13.universalimageloader.core.ImageLoaderConfiguration$Builder,L3848,L103,C:\Users\domco\Desktop\DP\repos\Android-Universal-Image-Loader\library\src\com\nostra13\universalimageloader\core\ImageLoaderConfiguration.java,149,2,599,3,0.117503,1,9,3,0.0665189,0.103448,30,24,3,2,2,64,13,2,2,11,38,0.962963,0.425743,172,172,26,1,0.425743,172,0,0,0,0,0,232,451,31,0,31,0,27,3,26,0,27,108,3,26,0,232,451,31,0,31,0,27,3,26,0,27,108,3,26,0,0,0,45,0,35,0,17,3,1,0,1,1,15,0,12,0,0,19,0,11,0
45,L4186,ImageLoaderConfiguration$NetworkDeniedImageDownloader,com.nostra13.universalimageloader.core.ImageLoaderConfiguration$NetworkDeniedImageDownloader,L3848,L103,C:\Users\domco\Desktop\DP\repos\Android-Universal-Image-Loader\library\src\com\nostra13\universalimageloader\core\ImageLoaderConfiguration.java,608,2,626,3,0.0,0,0,0,0.0,0.0,0,0,0,1,1,4,2,1,1,2,4,0.333333,0.304348,7,7,1,2,0.304348,7,1,1,0,0,1,16,19,1,1,1,1,2,0,2,0,2,4,0,2,0,16,19,1,1,1,1,2,0,2,0,2,4,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
46,L4192,ImageLoaderConfiguration$SlowNetworkImageDownloader,com.nostra13.universalimageloader.core.ImageLoaderConfiguration$SlowNetworkImageDownloader,L3848,L103,C:\Users\domco\Desktop\DP\repos\Android-Universal-Image-Loader\library\src\com\nostra13\universalimageloader\core\ImageLoaderConfiguration.java,635,2,654,3,0.0,0,0,0,0.0,0.0,0,0,0,1,1,4,3,1,1,3,5,0.333333,0.291667,7,7,1,2,0.291667,7,1,1,0,0,1,17,20,1,1,1,1,2,0,2,0,2,5,0,2,0,17,20,1,1,1,1,2,0,2,0,2,5,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
47,L4504,PauseOnScrollListener,com.nostra13.universalimageloader.core.listener.PauseOnScrollListener,L4473,L103,C:\Users\domco\Desktop\DP\repos\Android-Universal-Image-Loader\library\src\com\nostra13\universalimageloader\core\listener\PauseOnScrollListener.java,34,1,98,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,11,1,1,1,2,6,0.6,0.376812,26,26,3,2,0.376812,26,0,0,0,0,0,43,65,4,0,4,0,4,0,4,0,4,18,0,4,0,43,65,4,0,4,0,4,0,4,0,4,18,0,4,0,0,0,5,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
48,L3853,SimpleImageLoadingListener,com.nostra13.universalimageloader.core.listener.SimpleImageLoadingListener,L4473,L103,C:\Users\domco\Desktop\DP\repos\Android-Universal-Image-Loader\library\src\com\nostra13\universalimageloader\core\listener\SimpleImageLoadingListener.java,30,1,50,2,0.0,0,0,0,0.0,0.0,0,0,4,0,0,4,2,9,0,0,4,0.2,0.461538,12,8,1,4,0.461538,12,1,1,6,6,1,14,21,0,0,0,0,4,0,4,0,4,0,0,4,0,14,21,0,0,0,0,4,0,4,0,4,0,0,4,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
49,L4653,LoadAndDisplayImageTask$TaskCancelledException,com.nostra13.universalimageloader.core.LoadAndDisplayImageTask$TaskCancelledException,L3948,L103,C:\Users\domco\Desktop\DP\repos\Android-Universal-Image-Loader\library\src\com\nostra13\universalimageloader\core\LoadAndDisplayImageTask.java,470,2,471,3,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.777778,7,7,1,0,0.777778,7,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50,L5064,ComplexImageActivity,com.nostra13.example.universalimageloader.activity.ComplexImageActivity,L5059,L103,C:\Users\domco\Desktop\DP\repos\Android-Universal-Image-Loader\sample\src\com\nostra13\example\universalimageloader\activity\ComplexImageActivity.java,31,1,94,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,3,1,1,0,1,3,0.333333,0.15,3,3,1,2,0.0545455,3,0,0,0,0,0,17,24,2,0,2,0,2,0,2,0,2,7,0,2,0,52,64,4,3,4,3,6,0,5,0,6,19,0,5,0,0,0,18,0,2,0,0,2,0,0,0,0,18,0,0,0,0,0,0,0,0
