,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Security Rules,Size Metric Rules,isDefective
22,L5660,UILApplication,com.nostra13.example.universalimageloader.UILApplication,L5050,L103,C:\Users\domco\Desktop\DP\repos\Android-Universal-Image-Loader\sample\src\com\nostra13\example\universalimageloader\UILApplication.java,32,1,63,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,4,6,1,1,10,12,0.333333,0.294118,10,3,1,2,0.294118,10,0,0,0,0,0,24,32,0,0,0,0,2,0,2,0,2,7,0,2,0,24,32,0,0,0,0,2,0,2,0,2,7,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
23,L1190,BaseMemoryCache,com.nostra13.universalimageloader.cache.memory.BaseMemoryCache,L1184,L103,C:\Users\domco\Desktop\DP\repos\Android-Universal-Image-Loader\library\src\com\nostra13\universalimageloader\cache\memory\BaseMemoryCache.java,30,1,71,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,8,1,6,8,0,6,0.166667,0.214286,9,9,1,5,0.214286,9,2,2,2,6,1,33,42,1,0,1,0,6,0,5,0,6,12,0,5,0,33,42,1,0,1,0,6,0,5,0,6,12,0,5,0,0,0,13,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
24,L1254,LimitedMemoryCache,com.nostra13.universalimageloader.cache.memory.LimitedMemoryCache,L1184,L103,C:\Users\domco\Desktop\DP\repos\Android-Universal-Image-Loader\library\src\com\nostra13\universalimageloader\cache\memory\LimitedMemoryCache.java,38,1,112,2,0.0,0,0,0,0.0,0.0,0,0,1,3,3,13,2,4,16,5,12,0.4,0.256757,19,17,2,3,0.256757,19,3,3,4,4,1,55,75,6,2,5,2,7,0,4,0,13,27,0,9,0,55,75,6,2,5,2,7,0,4,0,13,27,0,9,0,0,0,15,0,1,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0
25,L1629,ContentLengthInputStream,com.nostra13.universalimageloader.core.assist.ContentLengthInputStream,L1612,L103,C:\Users\domco\Desktop\DP\repos\Android-Universal-Image-Loader\library\src\com\nostra13\universalimageloader\core\assist\ContentLengthInputStream.java,28,1,82,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,10,0,1,2,0,10,0.0909091,0.137255,7,7,1,10,0.137255,7,0,0,0,0,0,44,55,2,0,2,0,10,0,10,0,10,11,0,10,0,44,55,2,0,2,0,10,0,10,0,10,11,0,10,0,0,0,23,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0
26,L2272,FailReason,com.nostra13.universalimageloader.core.assist.FailReason,L1612,L103,C:\Users\domco\Desktop\DP\repos\Android-Universal-Image-Loader\library\src\com\nostra13\universalimageloader\core\assist\FailReason.java,24,1,65,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,3,1,5,2,0,3,0.75,0.363636,8,8,3,1,0.5,21,0,0,0,0,0,14,23,2,2,2,2,3,0,3,0,3,4,0,3,0,21,42,7,2,7,2,3,5,3,0,3,4,5,3,0,0,0,9,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,6,0
27,L2313,FlushedInputStream,com.nostra13.universalimageloader.core.assist.FlushedInputStream,L1612,L103,C:\Users\domco\Desktop\DP\repos\Android-Universal-Image-Loader\library\src\com\nostra13\universalimageloader\core\assist\FlushedInputStream.java,11,1,34,2,0.0,0,0,0,0.0,0.0,0,0,1,3,3,5,0,1,1,0,2,0.333333,0.214286,6,4,1,2,0.214286,6,0,0,0,0,0,22,24,0,0,0,0,2,0,2,0,2,11,0,2,0,22,24,0,0,0,0,2,0,2,0,2,11,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
28,L2352,ImageSize,com.nostra13.universalimageloader.core.assist.ImageSize,L1612,L103,C:\Users\domco\Desktop\DP\repos\Android-Universal-Image-Loader\library\src\com\nostra13\universalimageloader\core\assist\ImageSize.java,24,1,69,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,8,0,12,20,0,7,0.375,0.204545,9,8,3,5,0.204545,9,0,0,0,0,0,35,46,4,2,4,2,7,0,7,0,7,12,0,7,0,35,46,4,2,4,2,7,0,7,0,7,12,0,7,0,0,0,13,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
29,L2458,ImageSizeTest,com.nostra13.universalimageloader.core.assist.ImageSizeTest,L1612,L103,C:\Users\domco\Desktop\DP\repos\Android-Universal-Image-Loader\library\test\com\nostra13\universalimageloader\core\assist\ImageSizeTest.java,18,1,178,2,0.603109,4,10,10,0.496894,0.56,80,70,3,0,0,7,6,0,0,7,14,0.125,0.0866142,11,6,1,7,0.0875912,12,0,0,0,0,0,116,151,3,0,3,0,7,0,7,1,7,89,0,7,1,125,161,3,0,3,0,9,0,8,1,9,91,0,8,1,0,0,42,7,0,6,19,0,1,0,0,1,22,0,0,0,0,0,0,0,0
30,L2543,BaseImageDecoder,com.nostra13.universalimageloader.core.decode.BaseImageDecoder,L2538,L103,C:\Users\domco\Desktop\DP\repos\Android-Universal-Image-Loader\library\src\com\nostra13\universalimageloader\core\decode\BaseImageDecoder.java,40,1,245,2,0.0945758,1,10,2,0.0970874,0.122699,20,20,1,3,3,36,11,1,1,25,34,1.0,0.143713,24,21,3,0,0.128342,24,1,1,0,0,1,143,181,6,1,6,1,9,0,2,0,9,85,0,2,0,163,206,10,1,10,1,12,4,2,0,12,91,4,2,0,0,1,50,1,3,2,9,2,0,0,1,0,28,0,1,0,0,0,0,12,1.0
31,L2561,ImageDecodingInfo,com.nostra13.universalimageloader.core.decode.ImageDecodingInfo,L2538,L103,C:\Users\domco\Desktop\DP\repos\Android-Universal-Image-Loader\library\src\com\nostra13\universalimageloader\core\decode\ImageDecodingInfo.java,34,1,150,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,16,5,3,7,4,18,0.916667,0.215686,22,22,11,1,0.215686,22,0,0,0,0,0,80,117,10,9,10,9,14,0,11,0,14,39,0,11,0,80,117,10,9,10,9,14,0,11,0,14,39,0,11,0,0,0,16,0,2,0,0,2,0,0,0,0,11,0,0,0,0,0,0,5,0
